# Date,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Short-wave irradiation
31/01/1980,299.41,79.15,1007.8,1.25,254.23,54.253944,154270.1
28/02/1980,299.77,80.01,1006.45,1.59,242.1,111.454992,139898.3
31/03/1980,299.5,84.17,1006.99,1.74,225.68,159.54768,132470.7
30/04/1980,299.21,85.96,1007.23,1.78,218.81,115.285752,124236.6
31/05/1980,298.97,87.68,1008.68,1.55,233.21,330.417864,120979
30/06/1980,298.51,88.23,1010.09,1.92,225.02,260.205516,133340.3
31/07/1980,297.53,88.83,1010.58,2.03,234.43,328.604904,127194.4
31/08/1980,297.37,88.6,1010.52,2.18,228.74,199.87128,141234.6
30/09/1980,297.95,88.52,1009.75,1.78,235.73,314.361468,127933.7
31/10/1980,298,88.82,1009.3,1.44,233.76,399.69396,114681.1
30/11/1980,298.49,86.54,1008.11,0.95,233.61,319.904316,107505.6
31/12/1980,297.51,79.38,1007.69,0.73,320,132.788268,128971.8
31/01/1981,298.03,75.96,1008.18,0.79,304.8,103.826304,139437.9
28/02/1981,299.38,77.63,1007.02,1.28,259.05,66.750336,135286.3
31/03/1981,299.54,82.3,1007.54,1.65,226.94,145.507104,130488.3
30/04/1981,299.8,84.65,1006.85,1.52,221.19,162.080028,126992.2
31/05/1981,298.86,87.48,1008.1,1.5,221.73,343.468224,116001.3
30/06/1981,298.56,87.75,1009.77,1.66,224.59,228.909744,119473.9
31/07/1981,297.26,88.5,1010.51,2.22,225.9,260.737884,135721.8
31/08/1981,297.41,85.18,1010.21,2.31,226.46,226.769292,150368.2
30/09/1981,297.72,87.6,1009.99,2.01,235.7,257.442084,137877
31/10/1981,298.2,88.79,1008.42,1.6,224.24,268.859196,115078.2
30/11/1981,298.06,83.57,1007.85,0.48,263.15,288.004464,113773.3
31/12/1981,298.86,77.64,1007.91,0.68,280.34,40.706316,139918.5
31/01/1982,298.96,79.45,1007.34,0.77,257.56,99.411516,133001
28/02/1982,298.74,76.41,1006.88,0.84,282.66,135.531504,132189.5
31/03/1982,298.94,84.26,1006.73,1.16,231.15,301.313016,118315.9
30/04/1982,299.15,87.83,1007.06,1.77,221.36,224.819208,116316.2
31/05/1982,298.83,88.44,1008.11,1.5,226.96,309.395556,115095.1
30/06/1982,297.73,89.73,1010.47,1.88,224.39,394.91424,113245.6
31/07/1982,296.96,89.85,1010.46,2.1,238.14,263.542068,120212.2
31/08/1982,296.6,87.88,1010.96,2.24,237.73,101.636964,161376.2
30/09/1982,297.3,89.42,1009.91,2.11,233.24,318.465756,130669.4
31/10/1982,297.53,89.61,1008.57,1.7,234.01,521.60544,112054.4
30/11/1982,298.18,82.63,1007.94,0.67,294.21,276.461892,133344
31/12/1982,298.16,79.76,1007.73,0.66,309.26,120.90618,128286.2
31/01/1983,295.38,69.43,1008.6,2.44,22.07,0.167464,171906.6
28/02/1983,300.05,74.32,1007.63,1.17,256.31,48.99168,159733.5
31/03/1983,300.77,73.76,1006.95,1.24,233.36,56.76048,171337.2
